Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000136933,RABEPK,0.072063435645515372,0.59073922540983714,0.14340434293237458,0.034995225729863494,-1.0051200211529343,0.013285395296745316,0.069154098351514426,0.34340131588769252,0.61511693941240198
ENSG00000044574,HSPA5,0.54605814615897563,-0.93339338243318681,0.0030892200566415289,0.68388975028021382,-0.42430703859551039,0.26391918142578874,1.6419158780030998,1.4286101376144074,1.711711679632701e-05
ENSG00000239705,RP11-65N13.8,0.0010149779668382447,-0.96180179761894102,0.56299969960364771,0.0011862788383004575,-0.59233849581445952,0.71317898340359009,0.0049395784536796026,2.1149000849685997,0.14292578181246762
ENSG00000165219,GAPVD1,0.071048457678677124,-0.43511894251118832,0.33112863762373529,0.094902307064036601,0.24072654534904014,0.60479188543620643,0.098791569073592045,0.27645748512689794,0.68524644692191383
ENSG00000119487,MAPKAP1,0.11519999923614077,-0.34323090425496527,0.44482567183393207,0.13760834524285306,0.075860350811313815,0.91437087882261747,0.16103025758995504,0.36392763280851392,0.51008714862638815
ENSG00000167081,PBX3,0.022329515270441382,-0.82309552678734921,0.082892774539330111,0.046264874693717845,0.89766106114560795,0.033242355411756699,0.029637470722077616,-0.13645251581755957,1.0
ENSG00000196814,MVB12B,0.011672246618639814,-1.2837298925063036,0.01005622737462355,0.024318716185159378,0.26082011585627107,0.72795164518587463,0.037540796247964976,1.1149000849685997,0.05796673042379296
ENSG00000136944,LMX1B,0.0,-0.5467642983400971,1.0,0.0,-0.1773009965356156,1.0,0.00098791569073592052,2.8518656791348054,0.48910479964915088
ENSG00000169155,ZBTB43,0.035016739855919438,-0.79252071274205615,0.064395095029872423,0.075921845651229281,1.0924592724864919,0.0034929244446096912,0.036552880557229057,-0.52956342750121888,0.5061509187395975
ENSG00000177125,ZBTB34,0.0025374449170956115,-2.5163906492965777,0.00023856837225625938,0.025504995023459837,3.1122056206593696,7.453351042558516e-08,0.0029637470722077616,-1.762844164980403,0.089296279233981049
ENSG00000136828,RALGPS1,0.0091348017015442009,-0.65638878951459478,0.36488771906993628,0.011862788383004575,-0.070385792619102716,1.0,0.01975831381471841,0.95878088305131737,0.21932787359024891
ENSG00000136895,GARNL3,0.0025374449170956115,1.4532357016599029,0.42200615186332474,0.00059313941915022875,-0.98465591859321933,0.72275303675650759,0.00098791569073592052,0.044510757077201646,1.0
ENSG00000136856,SLC2A8,0.0055823788176103456,-2.0910848145639074,9.5561524282202141e-05,0.024911855604309609,0.96356153930423449,0.05936891090807786,0.026673723649869852,0.90433309902894088,0.1976562949264197
ENSG00000196152,ZNF79,0.0060898678010294681,-0.23864200297776517,0.91562755214913782,0.00474511535320183,-0.65123218486802781,0.52374589555173479,0.011854988288831046,1.1599879744971373,0.26280247013072344
ENSG00000197958,RPL12,24.895379570608466,0.75859204562988847,0.012869700656094987,14.009359940909253,-0.64074715839110574,0.056445112704040366,15.884696391342866,-0.32434593189824312,0.63263222793769769
ENSG00000148356,LRSAM1,0.01319471356889718,-1.0586633368715299,0.052465939514563305,0.031436389214962127,0.93373031585312827,0.066374501871777403,0.02272206088692617,0.11490008496859971,1.0
ENSG00000136830,FAM129B,0.00050748898341912234,-5.1013531500177338,7.352432164848035e-13,0.053382547723520586,5.008565548775719,5.9845347428512904e-20,0.0029637470722077616,-2.6716962769222077,0.0010128142799090438
ENSG00000136854,STXBP1,0.010657268651801569,1.4532357016599029,0.043288366815197751,0.0029656970957511438,-1.3472259979779277,0.10607450633502111,0.0049395784536796026,-0.31805932230750678,0.95708467097268224
ENSG00000187024,PTRH1,0.026896916121213484,-0.97178588619156248,0.02021550468216143,0.043892317017116926,0.097321383573390818,0.92468297935642174,0.069154098351514426,1.0016127986394872,0.038653123097742138
ENSG00000167094,TTC16,0.014209691535735425,-0.11504805791462225,0.99689699896181772,0.0011862788383004575,-3.7008629525926278,1.844295680818649e-07,0.039516627629436821,2.2552213733660142,1.1131346881085615e-05
ENSG00000160404,TOR2A,0.037554184773015052,-2.0114325653435414,5.8482297349896689e-09,0.18565263819402161,1.6661086405236833,8.8115774823357338e-08,0.098791569073592045,-0.089835680300527354,1.0
ENSG00000095370,SH2D3C,0.059376211060037314,-1.0391606803251805,0.0041912990645876303,0.12811811453644942,0.72006409125458459,0.04292905193845372,0.11361030443463085,0.32614238178832533,0.6072516026500423
