Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000142611,PRDM16,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000162591,MEGF6,0.011828512015083314,0.6636432039916782,0.39546669081143593,0.0072600054353984152,-0.60236911510284052,0.48115747667608361,0.0,1.1866201001909014,1.0
ENSG00000238260,RP11-46F15.2,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000158109,TPRG1L,0.037393360563811762,0.38610922846276896,0.51214337826380241,0.027720020753339406,-0.41927834387369334,0.49943905537051131,0.048464791551974376,1.0582960032153621,1.0
ENSG00000116213,WRAP73,0.068300117764513321,0.40060879815788475,0.41862907167389529,0.052800039530170297,-0.33933470926904663,0.54976540766970761,0.0,-1.4094829581354555,1.0
ENSG00000227589,RP5-1092A11.5,0.0,-1.7513942952871666,0.5470597557982676,0.00066000049412712864,1.8126683841760034,0.55641727934320528,0.0,5.6128848548929993,1.0
ENSG00000227372,TP73-AS1,0.019459810089330613,0.7011179094103408,0.31570100585111233,0.011880008894288316,-0.63984382052150313,0.40968816711724132,0.0,0.48360183794803291,1.0
ENSG00000235169,SMIM1,0.010302252400233854,-1.6444790913706546,0.003893968827909535,0.030360022729847919,1.3228631164951867,0.028187263073642659,0.12116197887993593,2.9883939899852057,0.32101462169939632
ENSG00000130764,LRRC47,0.089667752372405762,0.27326775894710353,0.58502387986946813,0.075240056330492674,-0.23058481377788054,0.69756651361990329,0.024232395775987188,-0.83832625693932972,1.0
ENSG00000116198,CEP104,0.050366567290032173,0.34969182982714919,0.5252121103188846,0.038940029153500595,-0.35725661726630875,0.5392265650417265,0.048464791551974376,0.61288485489299971,1.0
ENSG00000169598,DFFB,0.024038588933878991,0.49371820254936605,0.47064195236030554,0.015840011859051088,-0.58786954540772562,0.33727133621679567,0.048464791551974376,1.7384157369768585,1.0
ENSG00000198912,C1orf174,0.09729905044665306,0.5343601870467114,0.21930540854095013,0.057420042989060192,-0.82065713810655261,0.044421367960774311,0.41195072819178219,2.3607450901624993,0.15356459291557081
ENSG00000236423,LINC01134,0.00038156490371236496,-2.3363567960083227,0.12563357581196963,0.00066000049412712864,-0.77229411654515268,0.87599707504952118,0.096929583103948752,7.3498504490592058,0.0029530775890240757
ENSG00000196581,AJAP1,0.00076312980742472992,0.83356820543399124,0.70875155797430134,0.0,-0.77229411654515268,0.73442542768484387,0.0,5.0279223541718432,1.0
ENSG00000236948,RP11-154H17.1,0.0030525192296989197,2.4185307061551473,0.091278140998519094,0.0,-2.3572566172663088,0.15854471896041755,0.0,3.4429598534506871,1.0
ENSG00000131697,NPHP4,0.0068681682668225693,-1.0884292825647366,0.1051832017806929,0.015180011364923959,1.1497033714535743,0.10463102819682664,0.0,1.2205674321142386,1.0
ENSG00000069424,KCNAB2,0.27548986048032748,0.077572557397704855,0.95973096724561546,0.26598019913323284,-0.032945871067952659,1.0,0.072697187327961557,-1.5241062571872301,1.0
ENSG00000116251,RPL22,9.6768675230492871,0.50353984109560823,0.15367476376375669,6.9927052352769286,-0.44824271608323896,0.22729171166156051,0.75120426905560278,-3.5211001821698171,1.0
ENSG00000158286,RNF207,0.0015262596148494598,-0.4294662003998031,0.87252152254086612,0.001980001482381386,0.49074028928863989,0.87599707504952118,0.0,3.6128848548929993,1.0
ENSG00000116237,ICMT,0.054945346134580554,0.31999033794959963,0.5470597557982676,0.044880033600644749,-0.25871624906076196,0.69202732474859807,0.0,-1.121824765332839,1.0
ENSG00000158292,GPR153,0.0022893894222741898,-0.26596746811692284,1.0,0.0026400019765085146,0.32724155700576141,0.9158876161461954,0.0,3.1534532362557011,1.0
ENSG00000097021,ACOT7,0.036630230756387036,1.8485185468999621,0.00022044616063704824,0.0085800064236526731,-2.0093333138460023,0.00010423172747873872,0.048464791551974376,1.4164876420894958,1.0
ENSG00000271746,RP1-202O8.3,0.0038156490371236496,0.38610922846276985,0.79150766871358214,0.0026400019765085146,-0.32483513957393129,0.95330827756032055,0.0,2.7059942592844797,1.0
ENSG00000187017,ESPN,0.0038156490371236496,1.7080373233501316,0.17063983212236328,0.00066000049412712864,-1.6467632344612948,0.26882496876519307,0.0,3.0279223541718432,1.0
ENSG00000215788,TNFRSF25,0.088523057661268667,3.3054369273095099,4.1360158591407533e-13,0.0085800064236526731,-3.2441628384206727,2.2382219432717646e-12,0.0,-1.3296296504462406,1.0
ENSG00000171680,PLEKHG5,0.005723473555685474,3.2486057047128343,0.013404211567328751,0.0,-3.1873316158239975,0.014026040008373966,0.0,2.6128848548929993,1.0
ENSG00000162408,NOL9,0.061813514401403119,0.71469080958206987,0.10848263054206954,0.037620028165246337,-0.68690262531450852,0.14070741908995196,0.024232395775987188,-0.16847485863166067,1.0
ENSG00000204859,ZBTB48,0.042353704312072513,0.12522328920755132,0.90340241894395146,0.039600029647627724,-0.063949200318714539,1.0,0.0,-0.81337989980909864,1.0
ENSG00000162413,KLHL21,0.020604504800467709,-0.014428701120960064,1.0,0.021120015812068117,0.075702790009797738,1.0,0.0,0.16994135904427043,1.0
ENSG00000116273,PHF13,0.014117901437357503,-0.5478609012020339,0.43314069597374583,0.021120015812068117,0.60913499009087158,0.33669971852539438,0.0,0.48360183794803291,1.0
ENSG00000041988,THAP3,0.03014362739327683,0.40060879815788475,0.54484293259857164,0.023100017294449503,-0.33933470926904619,0.61657543669229575,0.0,-0.23260519605137642,1.0
ENSG00000007923,DNAJC11,0.036248665852674673,0.34171510910431557,0.57142302133307898,0.029040021741593661,-0.2804410202154779,0.66888628798386118,0.0,-0.51639816205196709,1.0
