Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000169972,PUSL1,0.029922243535895041,-0.42621679094327369,0.50386556672856664,0.043466934703011877,0.40405724958328371,0.45604088058083914,0.03853664382840602,0.12027213578857232,0.97757439302303917,0.0,-0.65390168580190267,1.0
ENSG00000127054,CPSF3L,0.13496841765127124,-0.3455743197785921,0.49949949683938399,0.16006871192220248,0.031204196936714723,1.0,0.19357942016129537,0.41914609009210047,0.37389968755140235,0.0,-2.7556216066146928,1.0
ENSG00000224051,CPTP,0.051568121838457409,0.15710236179191384,0.82731790352333401,0.033807615880120351,-0.71107846113819662,0.1377873332245042,0.062734071348567941,0.5497210675048736,0.30426628093251201,0.048464791551974376,0.54679566443522676,1.0
ENSG00000169962,TAS1R3,0.00063664347948712849,0.14532519401556065,1.0,0.00068995134449225206,0.32688938906082399,1.0,0.00089620101926525639,0.87029388278022601,1.0,0.0,4.6128848548929993,1.0
ENSG00000107404,DVL1,0.003819860876922771,-0.9859193392626926,0.35890311212617804,0.0096593188228915293,0.91185188978198006,0.31493834342315241,0.0071696081541220511,0.23286396216493443,1.0,0.0,1.7549038597654265,1.0
ENSG00000162576,MXRA8,0.00063664347948712849,1.7302876947367167,0.6071474488021481,0.0,-0.088148110218019937,1.0,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000175756,AURKAIP1,0.37434636593843157,-0.68597398369142937,0.060438212919797944,0.66994275550197668,0.62113139364210523,0.066244373732037426,0.52965480238576645,0.049080112162233958,1.0,0.21809156198388469,-1.1359788596426994,1.0
ENSG00000221978,CCNL2,0.098043095841017794,-0.41144041487494354,0.40113441301031366,0.13178070679802015,0.24414895805288772,0.60362106453715025,0.13263775085125795,0.23148140811481488,0.72276773458792976,0.048464791551974376,-0.75051987597052205,1.0
ENSG00000242485,MRPL20,0.30240565275638603,-0.46897222762724478,0.2605184303940693,0.46019754677633212,0.48017288644249367,0.1796914878334212,0.37998923216846869,0.026704077748056276,1.0,0.024232395775987188,-3.0009046095795813,1.0
ENSG00000235098,ANKRD65,0.001273286958974257,0.73028769473671673,0.84051497340476411,0.0013799026889845041,0.91185188978198006,0.79562952447440249,0.0,-0.86667171138597965,0.8326637009178296,0.0,4.2909567600056358,1.0
ENSG00000225905,RP4-758J18.7,0.0,-0.26971230526328327,1.0,0.00068995134449225206,1.9118518897819801,0.5420767710240606,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000215915,ATAD3C,0.002546573917948514,2.0522157896240802,0.2020058373200985,0.0,-1.673110610939176,0.35087456308511289,0.0,-1.129706117219774,0.61729143579558332,0.024232395775987188,5.2909567600056358,0.55206110610235559
ENSG00000160072,ATAD3B,0.027375669617946526,-0.20259810940474665,0.81808650790082671,0.024148297057228821,-0.44178506483271995,0.51303443774925983,0.043017648924732303,0.76618547943948645,0.16815843872207112,0.0,-0.3757998318791671,1.0
ENSG00000197785,ATAD3A,0.03310546093333068,-0.22829237788330214,0.76283374561669193,0.031047810502151343,-0.34594586768566682,0.56055710327300523,0.051083458098119615,0.69852753451374561,0.18521064838680171,0.0,-0.66323955038123827,1.0
ENSG00000205090,TMEM240,0.00063664347948712849,0.73028769473671673,1.0,0.00068995134449225206,0.91185188978198006,1.0,0.0,-0.12970611721977399,1.0,0.0,5.0279223541718432,1.0
ENSG00000160075,SSU72,0.57934556633328693,0.033140827773977977,1.0,0.5561007836607551,-0.05834489929861042,1.0,0.58611546659947766,0.051551540766024528,1.0,0.38771833241579501,-0.51093225133866915,1.0
ENSG00000215014,RP5-832C2.5,0.010186295671794056,0.49582244109969409,0.61576633957086968,0.010349270167383781,0.51953446700321937,0.57667170133137824,0.0035848040770610256,-1.2228155216112562,0.29241522920345553,0.0,1.4429598534506871,1.0
ENSG00000228594,C1orf233,0.002546573917948514,-2.2697123052632824,0.0042143360330198195,0.022768394368244318,2.5398831123950227,3.0354599905960606e-05,0.0053772061155915379,-0.98531620788459939,0.37716336914235482,0.0,1.153453236255702,1.0
ENSG00000272106,RP11-345P4.9,0.029922243535895041,0.38451285789498701,0.57830213646695461,0.031737761846643592,0.51224443107274187,0.37197829833522006,0.012546814269713588,-1.1924418725677377,0.081784437869267715,0.0,-0.14200264727046985,1.0
