Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000139178,C1RL,0.054952851432542749,-0.073307102818508163,0.93920289150936587,0.057591169774731402,0.073307102818508163,0.93920289150936631
ENSG00000205885,C1RL-AS1,0.013738212858135687,0.24546985494228224,0.82572608426105509,0.01128074459505048,-0.24546985494228224,0.82572608426105509
ENSG00000139194,RBP5,0.00033507836239355331,0.17508052705088417,1.0,0.0,-0.17508052705088417,1.0
ENSG00000256967,RP11-273B20.1,0.00100523508718066,1.1750805270508842,0.73190023485372979,0.0,-1.1750805270508842,0.73190023485372979
ENSG00000139182,CLSTN3,0.07505755317615595,4.6669336233805581,8.5771160732636939e-17,0.0023748935989579959,-4.6669336233805581,8.9474372407722938e-17
ENSG00000139197,PEX5,0.02915181752823914,0.34910992682593278,0.58479378199619425,0.02256148919010096,-0.34910992682593278,0.58479378199619425
ENSG00000177575,CD163,0.00201047017436132,-6.8119804172416192,5.743326639616198e-53,0.26301946608459803,6.8119804172416192,6.089310172123197e-53
ENSG00000198178,CLEC4C,0.043895265473555489,3.897546551521974,7.7703001655717462e-08,0.0023748935989579959,-3.897546551521974,7.7703001655717462e-08
ENSG00000173262,SLC2A14,0.0,-2.8249194729491158,0.12064965511840481,0.0017811701992184968,2.8249194729491158,0.12064965511840481
ENSG00000059804,SLC2A3,0.39304691908763806,-0.68434049495226468,0.037548506827947879,0.6317216973228269,0.68434049495226468,0.037548506827947851
ENSG00000065970,FOXJ2,0.024460720454729395,-1.1700549589978033,0.0027410401193803582,0.055216276175773404,1.1700549589978033,0.0027410401193803582
ENSG00000171860,C3AR1,0.0030157052615419799,-4.2034310962028467,1.8781406118704585e-17,0.061153510173168391,4.2034310962028467,1.9589508162387721e-17
ENSG00000089818,NECAP1,0.087790530947110978,-0.26981626092107014,0.54067669626948767,0.10568276515363081,0.26981626092107014,0.54067669626948767
ENSG00000111729,CLEC4A,0.012397899408561473,-5.2895189599453545,1.3574495180089647e-52,0.49754020898170015,5.2895189599453545,1.4382500845571175e-52
ENSG00000226711,FAM66C,0.0056963321606904064,1.7600430277720402,0.1033935053981993,0.001187446799478998,-1.7600430277720402,0.1033935053981993
ENSG00000171847,FAM90A1,0.0,-2.4098819736702719,0.26537678207369514,0.001187446799478998,2.4098819736702719,0.26537678207369514
ENSG00000226091,LINC00937,0.00201047017436132,-5.6970446503969585,2.3092647446621319e-32,0.12111957354685779,5.6970446503969585,2.4044029925695606e-32
