Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000170542,SERPINB9,0.096933422108846687,-0.63904770705879299,0.085539155673442363,0.15094598215855129,0.63904770705879299,0.085539155673442363
ENSG00000124570,SERPINB6,0.18547103600354131,-0.7477926360792484,0.022298277589806178,0.31152681424211648,0.7477926360792484,0.022298277589806178
ENSG00000244041,LINC01011,0.0087774358602498975,-1.0726861894431723,0.10251602398384503,0.018627376521693564,1.0726861894431723,0.10251602398384513
ENSG00000124588,NQO2,0.032819977564412656,-1.2147051943156,0.0013554568420420512,0.076436476071777032,1.2147051943156,0.0013554568420420512
ENSG00000224846,RP1-90J20.8,0.0,-2.3357205952769657,0.29976879384177818,0.0012846466566685216,2.3357205952769657,0.29976879384177824
ENSG00000137275,RIPK1,0.065258327482727502,0.50558165870397564,0.28618779936868927,0.045604956311732517,-0.50558165870397564,0.28618779936868927
ENSG00000272277,RP1-40E16.12,0.011448829382934648,0.11597537458072615,1.0,0.010277173253348173,-0.11597537458072615,1.0
ENSG00000137274,BPHL,0.015265105843912864,0.7994389880046695,0.24926735052824175,0.0083502032683453898,-0.7994389880046695,0.24926735052824175
ENSG00000228170,RP1-40E16.11,0.00038162764609782162,0.24924190544419034,1.0,0.0,-0.24924190544419034,1.0
ENSG00000137267,TUBB2A,0.034728115794901766,0.48740164263895469,0.39963111316557681,0.024408286476701908,-0.48740164263895469,0.39963111316557681
ENSG00000137285,TUBB2B,0.0011448829382934649,1.2492419054441903,0.50006137452099642,0.0,-1.2492419054441903,0.50006137452099642
ENSG00000180822,PSMG4,0.13700432494911796,0.32324248688796731,0.50006137452099642,0.10919496581682434,-0.32324248688796731,0.50006137452099642
ENSG00000137266,SLC22A23,0.0015265105843912865,1.5711700003315521,0.50558188148843974,0.0,-1.5711700003315521,0.50558188148843974
ENSG00000168994,PXDC1,0.0,-3.0726861894431714,0.061303838490664758,0.0025692933133370432,3.0726861894431714,0.061303838490664758
ENSG00000270504,RP11-420L9.5,0.00038162764609782162,-0.75075809455580966,1.0,0.0006423233283342608,0.75075809455580966,1.0
ENSG00000145945,FAM50B,0.0080141805680542539,0.38674542919412502,0.78964987885529225,0.0057809099550083475,-0.38674542919412502,0.78964987885529225
ENSG00000230648,RP3-406P24.3,0.0038162764609782161,1.1237110233603307,0.44010012214277511,0.0012846466566685216,-1.1237110233603307,0.44010012214277489
ENSG00000112739,PRPF4B,0.3148428080307028,0.50044802428537483,0.19841528786059651,0.22224387160365422,-0.50044802428537483,0.19841528786059651
ENSG00000185689,C6orf201,0.0011448829382934649,1.2492419054441903,0.50006137452099642,0.0,-1.2492419054441903,0.50006137452099642
ENSG00000198721,ECI2,0.075943901573466505,0.60769587635666689,0.16867929945781354,0.04945889628173808,-0.60769587635666689,0.16867929945781354
ENSG00000234817,RP3-400B16.1,0.0,-1.7507580945558097,0.54699657536524515,0.0006423233283342608,1.7507580945558097,0.54699657536524515
ENSG00000153046,CDYL,0.022134403473673653,-1.0969337356898494,0.011742260007034816,0.047531926296735298,1.0969337356898494,0.011742260007034816
ENSG00000124787,RPP40,0.0091590635063477192,0.19265837707782296,0.90781519615077677,0.0077078799400111296,-0.19265837707782296,0.90781519615077633
ENSG00000272142,RP11-428J1.5,0.0011448829382934649,-0.33572059527696574,1.0,0.0012846466566685216,0.33572059527696574,1.0
ENSG00000219607,PPP1R3G,0.00038162764609782162,-1.3357205952769657,0.73083206506092413,0.0012846466566685216,1.3357205952769657,0.73083206506092413
ENSG00000214113,LYRM4,0.080141805680542536,0.34098447407176602,0.50370735567870806,0.062947686176757556,-0.34098447407176602,0.5037073556787085
ENSG00000145982,FARS2,0.08319482684932511,0.89474594810039676,0.029244074926331052,0.044320309655063991,-0.89474594810039676,0.029244074926331052
ENSG00000233064,RP3-380B8.4,0.0011448829382934649,1.2492419054441903,0.50006137452099642,0.0,-1.2492419054441903,0.50006137452099642
ENSG00000124785,NRN1,0.00038162764609782162,-0.75075809455580966,1.0,0.0006423233283342608,0.75075809455580966,1.0
ENSG00000124491,F13A1,0.032819977564412656,-4.1038542075368509,4.2311975854516585e-28,0.57038311556082355,4.1038542075368509,4.3713034657646271e-28
ENSG00000216863,LY86-AS1,0.0038162764609782161,0.38674542919412502,0.7913978812920327,0.0025692933133370432,-0.38674542919412502,0.79139788129203248
ENSG00000112799,LY86,0.046176945177836416,-3.5325477574327468,5.7332007696658263e-30,0.53826694914411055,3.5325477574327468,5.9316577193850285e-30
ENSG00000261211,RP1-80N2.3,0.0,-1.7507580945558097,0.54699657536524515,0.0006423233283342608,1.7507580945558097,0.54699657536524515
ENSG00000124782,RREB1,0.034346488148803943,-0.61800288570403872,0.16866908692097859,0.052670512923409386,0.61800288570403872,0.16866908692097859
ENSG00000124783,SSR1,0.30301235100167034,-0.18740940694071595,0.65609354202238546,0.34492762731549803,0.18740940694071595,0.65609354202238546
ENSG00000238221,RP11-69L16.4,0.0,-2.3357205952769657,0.28191025024096295,0.0012846466566685216,2.3357205952769657,0.28191025024096295
ENSG00000164304,CAGE1,0.00076325529219564323,0.83420440616534641,0.73184823192498638,0.0,-0.83420440616534641,0.73184823192498638
ENSG00000124784,RIOK1,0.098459932693237981,0.87373277035198393,0.032497384096301957,0.053312836251743642,-0.87373277035198393,0.032497384096301957
ENSG00000261189,RP3-512B11.3,0.00038162764609782162,0.24924190544419034,1.0,0.0,-0.24924190544419034,1.0
ENSG00000096696,DSP,0.0015265105843912865,1.5711700003315521,0.54699657536524515,0.0,-1.5711700003315521,0.54699657536524515
ENSG00000168566,SNRNP48,0.062968561606140561,0.9804251470163905,0.021140684830253633,0.031473843088378778,-0.9804251470163905,0.021140684830253633
ENSG00000153162,BMP6,0.0011448829382934649,-2.3357205952769657,0.062575754741891629,0.0070655566116768686,2.3357205952769657,0.062575754741891629
ENSG00000239264,TXNDC5,0.060678795729553633,3.986207499610396,4.1748905275541391e-07,0.0032116166416713038,-3.986207499610396,4.1748905275541391e-07
ENSG00000188428,BLOC1S5,0.043505551655151666,0.63530033775126871,0.21538132923339601,0.027619903118373215,-0.63530033775126871,0.21538132923339601
ENSG00000282913,BLOC1S5,0.0015265105843912865,-0.42882999966844793,0.88848993862360837,0.0019269699850027824,0.42882999966844793,0.88848993862360837
ENSG00000124802,EEF1E1,0.09578853917055323,0.5971652088644972,0.15446958872608596,0.062947686176757556,-0.5971652088644972,0.15446958872608596
ENSG00000124786,SLC35B3,0.055717636330281956,0.64155932822295014,0.17900847148804308,0.035327783058384341,-0.64155932822295014,0.17900847148804308
ENSG00000111846,GCNT2,0.0068692976297607886,-1.1466867708869488,0.098627815025780399,0.015415759880022259,1.1466867708869488,0.098627815025780399
ENSG00000137434,C6orf52,0.0015265105843912865,0.57117000033155207,0.81920567789879195,0.0006423233283342608,-0.57117000033155207,0.81920567789879217
ENSG00000111845,PAK1IP1,0.039689275194173444,-0.013792500389603113,1.0,0.039824046356724166,0.013792500389603113,1.0
ENSG00000111843,TMEM14C,0.12059433616691163,-1.1359060219157278,0.00028340571061454705,0.26527953460204973,1.1359060219157278,0.00028340571061454705
ENSG00000272097,RP11-421M1.8,0.00038162764609782162,0.24924190544419034,1.0,0.0,-0.24924190544419034,1.0
ENSG00000137210,TMEM14B,0.40070902840271266,0.42880786427879669,0.2789938937706975,0.29739570101876273,-0.42880786427879669,0.2789938937706975
